,mu,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.023939037407795637,0.02066478720768288,0.022301912307739258,0.023751800263525785,0.021050960814355073,0.02240138053894043
1,2,0.026814224603690363,0.021989534017525455,0.02440187931060791,0.02401153819780714,0.02099139911908739,0.022501468658447266
2,3,0.027766858943293574,0.02083562671344471,0.02430124282836914,0.02756808982286438,0.020236218114757686,0.023902153968811034
3,4,0.029755165732660575,0.022648618065557197,0.026201891899108886,0.03793934929997248,0.0210637654003449,0.02950155735015869
4,5,0.029627078204478054,0.022176701397572725,0.02590188980102539,0.027814582647714477,0.021790357766714237,0.024802470207214357
5,6,0.030139006375606944,0.024266539812747547,0.027202773094177245,0.029455812875105826,0.023547736700699838,0.026501774787902832
6,7,0.02835094303237039,0.02525299220932883,0.02680196762084961,0.02593857624851927,0.023667556258804952,0.02480306625366211
7,8,0.03467005158401196,0.02473394011520679,0.029701995849609374,0.028953260527839753,0.025451236618766693,0.027202248573303223
8,9,0.029987152806053543,0.02421564222263298,0.02710139751434326,0.02810749055344472,0.023894605622702743,0.02600104808807373
9,10,0.030942020989861457,0.024063004873786,0.02750251293182373,0.030888504431424837,0.022915654733003873,0.026902079582214355
10,11,0.028647884701071807,0.02475630345505612,0.026702094078063964,0.027553630227233283,0.025050758963440542,0.026302194595336913
11,12,0.04592159310819556,0.020083350739460687,0.033002471923828124,0.030720250652440648,0.026082355930200952,0.0284013032913208
12,13,0.033285716928465,0.027524801336305506,0.030405259132385253,0.03249160913275749,0.026510408842096024,0.029501008987426757
13,14,0.02819865196569616,0.02540437728540247,0.026801514625549316,0.028031943321285075,0.025173022270145586,0.02660248279571533
14,15,0.0427005182957903,0.023504458739732156,0.03310248851776123,0.03150149327878416,0.02510303514833986,0.028302264213562012
15,16,0.03799958315920855,0.024406956757783635,0.031203269958496094,0.03503709029554726,0.024368093496566996,0.029702591896057128
16,17,0.033163655565830764,0.02544258756771416,0.02930312156677246,0.03216336427887277,0.025443666589657497,0.028803515434265136
17,18,0.028639890642932233,0.025964687375256246,0.02730228900909424,0.029467979167662715,0.025338300968445686,0.0274031400680542
18,19,0.03041610485568353,0.025387432513090884,0.027901768684387207,0.03137702806257243,0.026229001447925625,0.028803014755249025
19,20,0.041070289990383535,0.021336059191745374,0.031203174591064455,0.029635031003198354,0.026370351534643444,0.0280026912689209
20,21,0.030250766960711904,0.026355478080181648,0.028303122520446776,0.029157294949438934,0.026848564425561067,0.0280029296875
21,22,0.03509854595380308,0.02790499408525942,0.03150177001953125,0.03402003762960655,0.027985482237336805,0.03100275993347168
22,23,0.03135097446519891,0.02825171527784308,0.029801344871520995,0.03108439693222864,0.02792129268874304,0.02950284481048584
23,24,0.033648664784323074,0.029755656886209153,0.03170216083526611,0.03643923081921802,0.028768107513911866,0.032603669166564944
24,25,0.03658218465924479,0.029624270571468103,0.033103227615356445,0.03235209829322757,0.029454532795029263,0.030903315544128417
25,26,0.04041735673077299,0.029189519642518032,0.03480343818664551,0.03951287827699205,0.0298950139501808,0.034703946113586424
26,27,0.038774284536182854,0.031232372110545664,0.03500332832336426,0.034471023008593386,0.030935442521802116,0.03270323276519775
27,28,0.03759224908745622,0.03381340009772445,0.03570282459259033,0.03533707069730163,0.03267016006136536,0.034003615379333496
28,29,0.04167218351650439,0.03173518037509717,0.03670368194580078,0.036928666398829996,0.032879435255222744,0.03490405082702637
29,30,0.04319076372412758,0.033613731133660514,0.038402247428894046,0.04653400001551357,0.035874905013783306,0.04120445251464844
30,31,0.05319481066539447,0.031012771808360415,0.04210379123687744,0.03835994588144734,0.03444889200917767,0.0364044189453125
31,32,0.04663152842793102,0.035575149962571904,0.04110333919525146,0.04682063843441366,0.03378868315982462,0.04030466079711914
32,33,0.043372054368231695,0.03803410980107983,0.04070308208465576,0.04581062592714096,0.03579747877866959,0.040804052352905275
33,34,0.051591055318759814,0.03921724088485346,0.04540414810180664,0.044567281573273096,0.04124070945455893,0.042903995513916014
34,35,0.05116250453387997,0.04024694027507999,0.04570472240447998,0.04430392941242273,0.04050790110820715,0.04240591526031494
35,36,0.05246840084089903,0.039544815177777734,0.04600660800933838,0.04997517248417141,0.041434320008504374,0.04570474624633789
36,37,0.062224813135444125,0.03778343614739279,0.05000412464141846,0.051007295462786394,0.04060094275742845,0.04580411911010742
37,38,0.0585698417445995,0.04323794328958019,0.05090389251708984,0.05407029268683668,0.04233902814446215,0.048204660415649414
38,39,0.05089458327387884,0.04371286530400202,0.04730372428894043,0.04634016898340554,0.04406882378392844,0.04520449638366699
39,40,0.0522653552553972,0.04514336857577955,0.04870436191558838,0.05012124779793268,0.044689285725626894,0.04740526676177979
40,41,0.058155136119423904,0.04645158766597649,0.0523033618927002,0.05800783371269356,0.04700258041084159,0.052505207061767575
41,42,0.06272508292062179,0.04848111481802566,0.05560309886932373,0.05727409122190854,0.04873462917604068,0.05300436019897461
42,43,0.0678094651735903,0.04699814056981791,0.0574038028717041,0.06482918922056236,0.04738160904298746,0.056105399131774904
43,44,0.06719102053264803,0.04721432538410001,0.05720267295837402,0.06105796141381307,0.049150549938725994,0.05510425567626953
44,45,0.06269133085254444,0.05451705461498485,0.058604192733764646,0.07090062641706027,0.050110106233696564,0.06050536632537842
45,46,0.07330813722111285,0.05410060568355023,0.06370437145233154,0.06187033290031064,0.055541137512897375,0.05870573520660401
46,47,0.07056523356725714,0.05644697155664424,0.06350610256195069,0.06639859979781274,0.05641104871598122,0.06140482425689697
47,48,0.06861760605536527,0.05459296714104586,0.061605286598205564,0.07980519139064807,0.05140647090183239,0.06560583114624023
48,49,0.07721815703456922,0.05419377686435655,0.06570596694946289,0.06285244044374697,0.05675763073850401,0.05980503559112549
49,50,0.07518402098225671,0.05722612382365149,0.0662050724029541,0.069318682934427,0.05929316780409837,0.06430592536926269
50,51,0.07295548850211607,0.05965373581734194,0.066304612159729,0.06810805940847713,0.06090690946359319,0.06450748443603516
51,52,0.07695010808309427,0.06246115061441549,0.06970562934875488,0.0758718060287851,0.0635397387710196,0.06970577239990235
52,53,0.07555620542861627,0.06385395654342962,0.06970508098602295,0.07242200448603357,0.0629895918121842,0.06770579814910889
53,54,0.07663835343217337,0.0643729800334028,0.07050566673278809,0.0805896738589839,0.06282282080043992,0.07170624732971191
54,55,0.09258087161798889,0.06963116642217224,0.08110601902008056,0.07909873352826652,0.06691352500139658,0.07300612926483155
55,56,0.08571902942063062,0.06709278393386156,0.07640590667724609,0.08511507290031414,0.06829803211067217,0.07670655250549316
56,57,0.10316042076328408,0.0658489309670626,0.08450467586517334,0.07919308848629074,0.06901853375186844,0.07410581111907959
57,58,0.08602671295005779,0.07078647941749591,0.07840659618377685,0.09530009013736743,0.06871405857479077,0.0820070743560791
58,59,0.08734210709750648,0.06967121382534508,0.07850666046142578,0.0855903435916276,0.07542373645597983,0.08050704002380371
59,60,0.10074262694406907,0.07347426339101393,0.0871084451675415,0.09917327618944233,0.07084062838209088,0.0850069522857666
60,61,0.09059602618779629,0.07481701969538242,0.08270652294158935,0.09827325409908333,0.07434322768192253,0.08630824089050293
61,62,0.11064424076586643,0.07757106265515407,0.09410765171051025,0.09229049867233563,0.07912382894912434,0.08570716381072999
62,63,0.10730260802439483,0.07911225365468232,0.09320743083953857,0.10448707525445397,0.0815275769977433,0.09300732612609863
63,64,0.09318533300572565,0.08222832322901555,0.0877068281173706,0.09383009705916916,0.08358527388199295,0.08870768547058105
64,65,0.10924118804284548,0.08197628212622189,0.09560873508453369,0.09829855955250336,0.08871783220164703,0.09350819587707519
65,66,0.10539840335520881,0.08581830387440545,0.09560835361480713,0.11012108978780963,0.08680054488626263,0.09846081733703613
66,67,0.10358955352965028,0.08722541839417784,0.09540748596191406,0.12480225385566113,0.08801622568230275,0.10640923976898194
67,68,0.1082956056652065,0.08812153529548684,0.09820857048034667,0.10754009798099048,0.09367926999996654,0.10060968399047851
68,69,0.12500378193279607,0.08501032291034359,0.10500705242156982,0.1332927053707478,0.09252554719272876,0.11290912628173828
69,70,0.13294159003320427,0.09467615059789924,0.11380887031555176,0.12728572309968633,0.09473242341520625,0.11100907325744629
70,71,0.12123530117310591,0.09878256114684039,0.11000893115997315,0.1263215771120546,0.10289638133826277,0.1146089792251587
71,72,0.1363168689213338,0.10270037923235273,0.11950862407684326,0.11626562793278628,0.09655051510310239,0.10640807151794433
72,73,0.12189588784440716,0.09872259856001178,0.11030924320220947,0.12979832384043627,0.10002006795949048,0.11490919589996337
73,74,0.1229290468574495,0.10228886772384933,0.11260895729064942,0.13824408405124247,0.10737568981350362,0.12280988693237305
74,75,0.1356598378201797,0.10215797414576266,0.11890890598297119,0.14941947552846624,0.1078022232325201,0.12861084938049316
75,76,0.12056885745151541,0.10484723065273263,0.11270804405212402,0.12601877093168817,0.1117989456668226,0.11890885829925538
76,77,0.13786391022356886,0.10755664107647997,0.12271027565002442,0.13406015259763088,0.10815996306399021,0.12111005783081055
77,78,0.13828306457984973,0.1083338234664149,0.12330844402313232,0.13105789266234805,0.11256135858887263,0.12180962562561035
78,79,0.14080197819866863,0.11241762629351887,0.12660980224609375,0.14249188849889136,0.1131301169637551,0.12781100273132323
79,80,0.13558660935087383,0.11243508864717305,0.12401084899902344,0.1519603971031687,0.11626164879526882,0.13411102294921876
80,81,0.1377901765553249,0.12323191435654032,0.13051104545593262,0.13894961775842174,0.1206719070523693,0.12981076240539552
81,82,0.13610596156680566,0.1175157120171787,0.12681083679199218,0.15742593408172767,0.12499884962493735,0.1412123918533325
82,83,0.14753938510553422,0.12428235218389451,0.13591086864471436,0.1458592098523697,0.12196105305656588,0.13391013145446778
83,84,0.14904242024051761,0.1193779899157324,0.134210205078125,0.14214178629005678,0.1236796229354071,0.13291070461273194
84,85,0.1694307394350774,0.12819356247532301,0.1488121509552002,0.17372490606125626,0.13470133104506696,0.1542131185531616
85,86,0.16445415449482786,0.1255672173466028,0.14501068592071534,0.1741951483532757,0.13182840168029364,0.15301177501678467
86,87,0.16245390942833415,0.1307687086746932,0.14661130905151368,0.1604288727299958,0.13419497904612726,0.14731192588806152
87,88,0.15249732145598519,0.1357253729409875,0.14411134719848634,0.19309697246091667,0.14613013172609507,0.16961355209350587
88,89,0.1707756012250548,0.1402480155657167,0.15551180839538575,0.17893623051816432,0.15168958964174778,0.16531291007995605
89,90,0.17770337138437772,0.14032021488881566,0.1590117931365967,0.17733425103410544,0.14448991812483009,0.16091208457946776
90,91,0.18777541940504847,0.14725103552048865,0.16751322746276856,0.17642791181415393,0.1421969661155336,0.15931243896484376
91,92,0.16681146824661341,0.14721483981307898,0.1570131540298462,0.189560160734528,0.1538671158768001,0.17171363830566405
92,93,0.18099469076084834,0.14543000330043093,0.16321234703063964,0.17210292810315966,0.14972219473009227,0.16091256141662597
93,94,0.18171286772046588,0.14951271821703413,0.16561279296875,0.2040529284146181,0.151174303564752,0.17761361598968506
94,95,0.17972915199020317,0.14789702865860055,0.16381309032440186,0.2039641153732419,0.15206282020415066,0.17801346778869628
95,96,0.2010346231931749,0.1531934918886122,0.17711405754089354,0.18419599037955264,0.15743170279671687,0.17081384658813475
96,97,0.19148918755506972,0.1595393501951744,0.17551426887512206,0.18208545787729344,0.16054125682912748,0.17131335735321046
97,98,0.21418121029056075,0.16364853214107988,0.18891487121582032,0.23687047507275544,0.1999632403660873,0.21841685771942138
98,99,0.19021511375849254,0.1704140156512975,0.18031456470489501,0.20340327238646605,0.1582252123394861,0.18081424236297608
