,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.030412740530883095,0.026192836937988975,0.028302788734436035,0.025191061033429957,0.021212156282243873,0.023201608657836915
1,2,0.035974394594980634,0.029832232678578936,0.032903313636779785,0.03563018606523822,0.02957791520734478,0.0326040506362915
2,3,0.036674329603815364,0.03213422599921198,0.03440427780151367,0.039125108730590184,0.028081226337158833,0.03360316753387451
3,4,0.03889541142828562,0.03171005732171438,0.035302734375,0.035736630156132335,0.031872393891719225,0.03380451202392578
4,5,0.03631611758714258,0.03289007252211035,0.03460309505462646,0.03823979922519191,0.03056870869411961,0.03440425395965576
5,6,0.0364417381229881,0.032765882497739436,0.03460381031036377,0.037773680980012644,0.03143451184530474,0.03460409641265869
6,7,0.044728821147649256,0.03087666667583708,0.03780274391174317,0.0379507461035025,0.032856138662122496,0.0354034423828125
7,8,0.03706370932063825,0.032343515334513115,0.034703612327575684,0.037709270848831605,0.03129822121659809,0.034503746032714847
8,9,0.04133178221081303,0.03287418855334713,0.03710298538208008,0.04751913604541938,0.03208882751659234,0.03980398178100586
9,10,0.03840890336748753,0.03360395025494899,0.03600642681121826,0.045466262863398686,0.03034002108740697,0.03790314197540283
10,11,0.05576733694525009,0.026042660613343666,0.040904998779296875,0.038970334194888594,0.031837408877621175,0.035403871536254884
11,12,0.041947527195691614,0.0320595071060662,0.037003517150878906,0.037004327287583204,0.03260154772767559,0.034802937507629396
12,13,0.04246859159635405,0.03473902139497896,0.038603806495666505,0.04058461032753585,0.03502297557944657,0.03780379295349121
13,14,0.039832136279847656,0.0341747549707627,0.03700344562530518,0.03902449712407695,0.033382843879341026,0.03620367050170899
14,15,0.040063201678645036,0.035343731152165506,0.03770346641540527,0.04073473501267415,0.0356734127992155,0.038204073905944824
15,16,0.042164466157122465,0.03784237168772617,0.040003418922424316,0.04440520718971705,0.033802428689799546,0.0391038179397583
16,17,0.04465902116365867,0.037148592209144064,0.04090380668640137,0.042138692277726854,0.03606870518321064,0.03910369873046875
17,18,0.05864019935157629,0.03476719315025476,0.04670369625091553,0.04128743754488053,0.03611911190885481,0.03870327472686767
18,19,0.04862566028349166,0.03777480091340775,0.043200230598449706,0.04012209034362543,0.03728498363098394,0.038703536987304686
19,20,0.04704668437761029,0.04076011264997761,0.04390339851379395,0.045341139874975664,0.03566800967641594,0.0405045747756958
20,21,0.046004779760011896,0.04160184102856232,0.04380331039428711,0.04914687705973272,0.03886119293233271,0.04400403499603271
21,22,0.0515348914957689,0.039272069563801415,0.045403480529785156,0.050744757667200185,0.03886286257205762,0.044803810119628903
22,23,0.05007389269228487,0.040929811378760055,0.04550185203552246,0.05718363105058586,0.03642360390424813,0.046803617477416994
23,24,0.06294485700918362,0.03826402055429295,0.05060443878173828,0.04762998133913456,0.040178532302222854,0.04390425682067871
24,25,0.05618606547841875,0.04242495556345136,0.049305510520935056,0.05264958661308806,0.04075895029792268,0.04670426845550537
25,26,0.048814555599873105,0.04499080519419428,0.04690268039703369,0.052795392267158375,0.040611284978935375,0.046703338623046875
26,27,0.0567257222572475,0.0424836340507359,0.0496046781539917,0.05062795585250423,0.042980042041782886,0.04680399894714356
27,28,0.05160426370075723,0.04180336721965293,0.04670381546020508,0.04710786042631592,0.042099884172072756,0.04460387229919434
28,29,0.062136195329871274,0.04487111744478693,0.0535036563873291,0.051711052127736745,0.04509704761896735,0.04840404987335205
29,30,0.07198150455057009,0.04502761066854611,0.058504557609558104,0.05787482876358013,0.04113430362167378,0.049504566192626956
30,31,0.061179670020994614,0.044234434440675305,0.05270705223083496,0.05432145458317081,0.043882728995320405,0.04910209178924561
31,32,0.0653008255024267,0.046907111738173884,0.056103968620300294,0.061764780168439753,0.044843610639665715,0.053304195404052734
32,33,0.061443361623545995,0.04656402172301162,0.05400369167327881,0.06367772015322845,0.047933312332733465,0.055805516242980954
33,34,0.05561741607874212,0.05198956710607234,0.05380349159240723,0.06308945779482564,0.04851923818906108,0.05580434799194336
34,35,0.0591643993198935,0.05244310457109771,0.055803751945495604,0.07313235770747775,0.050879063496135524,0.06200571060180664
35,36,0.06233433788456022,0.050475177114829434,0.05640475749969483,0.08475313966198485,0.03625830824450929,0.06050572395324707
36,37,0.07619864019339673,0.05421145883614428,0.0652050495147705,0.061398195297596256,0.04961168858301898,0.05550494194030762
37,38,0.07034021647755168,0.052669703642687575,0.06150496006011963,0.0635598814512452,0.05065000891435538,0.05710494518280029
38,39,0.07066128491036025,0.05754759074576768,0.06410443782806396,0.06055130933202532,0.05365710283838483,0.05710420608520508
39,40,0.06438484665725532,0.05782351020004449,0.0611041784286499,0.05906069964142555,0.05295001775054222,0.05600535869598389
40,41,0.07655388856758157,0.058657150021895955,0.06760551929473876,0.06281675077767485,0.05459386132864839,0.05870530605316162
41,42,0.08282746397152221,0.06118231691226686,0.07200489044189454,0.06497072678743734,0.0578401138192521,0.06140542030334473
42,43,0.06794332185578794,0.05945812544035464,0.06370072364807129,0.06609037406716832,0.054320926592011355,0.06020565032958984
43,44,0.07789692013263565,0.059515866351129,0.06870639324188232,0.08077764609796619,0.054632567372492793,0.06770510673522949
44,45,0.08065959670098682,0.06335199616400342,0.07200579643249512,0.08308575404455726,0.054925176970457394,0.06900546550750733
45,46,0.08356768601061458,0.06784570701001531,0.07570669651031495,0.07523945947119337,0.058772858186277345,0.06700615882873535
46,47,0.09619473699703562,0.06761837716922414,0.08190655708312988,0.07467282392024131,0.06533848665715127,0.07000565528869629
47,48,0.09493794023508419,0.0662756007957996,0.08060677051544189,0.07250890560855176,0.06530246905575489,0.06890568733215333
48,49,0.07933321792797807,0.0696565548686528,0.07449488639831543,0.08868030115256534,0.06793509916176571,0.07830770015716552
49,50,0.10551441688453886,0.06750155906760957,0.08650798797607422,0.07367431780934659,0.06693823674082432,0.07030627727508545
50,51,0.0886239178992142,0.07339051882258757,0.08100721836090088,0.0886158636910847,0.06800006114412038,0.07830796241760254
51,52,0.08585559973511477,0.07735765328612547,0.08160662651062012,0.0774321011960433,0.07138071733117837,0.07440640926361083
52,53,0.10305673069923588,0.07095669322044185,0.08700671195983886,0.07893345116913855,0.07368018866240442,0.07630681991577148
53,54,0.08305634881918751,0.07855563734109082,0.08080599308013917,0.0978985735417954,0.06591778311714014,0.08190817832946777
54,55,0.09890836225130697,0.09030667795560221,0.09460752010345459,0.09954831675643835,0.0728669874275216,0.08620765209197997
55,56,0.09294917887181812,0.08186485463648265,0.08740701675415039,0.0973073488289024,0.07310652675093157,0.08520693778991699
56,57,0.10140649481112311,0.07921036081021478,0.09030842781066895,0.08700735194105534,0.0778074063597259,0.08240737915039062
