,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.030249242471787553,0.023554106069472214,0.026901674270629884,0.026598875339787508,0.021808011714655854,0.02420344352722168
1,2,0.027705813304468613,0.023698948963597796,0.025702381134033205,0.025439931893137094,0.021763465857717396,0.023601698875427245
2,3,0.028161978835603965,0.023840546493985877,0.02600126266479492,0.02519950364207027,0.022403912800800826,0.023801708221435548
3,4,0.03387259385637667,0.02193003752179716,0.027901315689086915,0.025905480704334287,0.020898089089366884,0.023401784896850585
4,5,0.029351640735338153,0.026452707256605205,0.02790217399597168,0.02533900231564643,0.022065811450833066,0.023702406883239747
5,6,0.03232926445869087,0.02707620543571831,0.02970273494720459,0.02530012215102898,0.022904776683199537,0.024102449417114258
6,7,0.03181413659885046,0.025791606809352663,0.028802871704101562,0.025927098596239904,0.02187754312739291,0.023902320861816408
7,8,0.03999460957507105,0.022607052107057865,0.031300830841064456,0.02512146692277851,0.02328360815046368,0.024202537536621094
8,9,0.03428753957977098,0.02911792649994093,0.031702733039855956,0.026158074019723053,0.023847600342459564,0.02500283718109131
9,10,0.03626232325806522,0.030743835570670133,0.03350307941436768,0.029389346688373435,0.026816259772197853,0.028102803230285644
10,11,0.03285525792113325,0.030149045057382376,0.031502151489257814,0.02853129240028828,0.024873658695292775,0.026702475547790528
11,12,0.04006158698360986,0.03354342591006689,0.03680250644683838,0.030668642790995522,0.026537749497212486,0.028603196144104004
12,13,0.038004612819941525,0.03360183249255848,0.03580322265625,0.029338897408809166,0.027067552862797276,0.02820322513580322
13,14,0.04075534750777515,0.03704950402420727,0.03890242576599121,0.03307717285634609,0.02932912864206699,0.031203150749206543
14,15,0.04651303155452835,0.03689437048404587,0.04170370101928711,0.033773296124288046,0.03123386596982816,0.032503581047058104
15,16,0.07021453377259905,0.03239276412473982,0.051303648948669435,0.03743401203506135,0.030570691486667165,0.03400235176086426
16,17,0.05272392874882116,0.04068208092525111,0.046703004837036134,0.0391709244876519,0.03223586910670845,0.035703396797180174
17,18,0.059485580442844195,0.046124217988552284,0.05280489921569824,0.039830046909924297,0.03437616227281497,0.03710310459136963
18,19,0.05757278838854545,0.04723530372876412,0.052404046058654785,0.04265554270401114,0.035351392415617765,0.03900346755981445
19,20,0.06138047603796876,0.04502659412194334,0.05320353507995605,0.05097177133356495,0.03803508177007274,0.044503426551818846
20,21,0.06629215343084911,0.051517714428037605,0.05890493392944336,0.10661247572240826,0.009400192887210883,0.05800633430480957
21,22,0.0689772220338146,0.05643190424792368,0.06270456314086914,0.05950795832009957,0.046900733086150434,0.053204345703125
22,23,0.08418291822664287,0.05802646859891866,0.07110469341278076,0.05062242516871182,0.041384687334339934,0.04600355625152588
23,24,0.0728044551709077,0.05780648766966848,0.06530547142028809,0.05090249805686546,0.0449054834342234,0.04790399074554443
24,25,0.0716267374941805,0.06738421640901773,0.06950547695159912,0.05304497523326228,0.04176264958363225,0.047403812408447266
25,26,0.09478888133643358,0.06922550579430371,0.08200719356536865,0.06500685870372638,0.050001876953011885,0.05750436782836914
26,27,0.09044623560991029,0.07416515164289732,0.0823056936264038,0.06121393782049564,0.04839537995904537,0.054804658889770506
27,28,0.09300324636346166,0.0734108714496487,0.08320705890655518,0.062258027622494626,0.0513514770772124,0.056804752349853514
28,29,0.0894290675830484,0.07138340571407074,0.08040623664855957,0.06830602279097878,0.05450496086685814,0.061405491828918454
29,30,0.09370783199349961,0.07930800090750137,0.08650791645050049,0.07251610076743663,0.052894980546650275,0.06270554065704345
30,31,0.10061871812670509,0.08079707815320214,0.09070789813995361,0.0649697648155093,0.05783969296342136,0.06140472888946533
31,32,0.11533996113263358,0.07727249614275704,0.09630622863769531,0.07756743207525213,0.06744461283136408,0.0725060224533081
32,33,0.12124198937579235,0.09157372450665395,0.10640785694122315,0.08138709936808346,0.0602246674471021,0.07080588340759278
33,34,0.11894561753953445,0.09727004064833175,0.1081078290939331,0.08481014449793083,0.062000577853143404,0.07340536117553711
34,35,0.13994421790337142,0.10307445694709244,0.12150933742523193,0.08611930060537522,0.06709310364572342,0.07660620212554932
35,36,0.14800530413640717,0.0986172105883243,0.12331125736236573,0.10398178813837547,0.08323377849675637,0.09360778331756592
36,37,0.1338918272270564,0.11452702844005785,0.12420942783355712,0.08579666557842003,0.07021596488422646,0.07800631523132324
37,38,0.1663637419256357,0.12165820402773347,0.14401097297668458,0.1022237232547575,0.0775919505733675,0.0899078369140625
38,39,0.15132786539092807,0.11389473173126428,0.13261129856109619,0.11019418244266477,0.073821568442345,0.09200787544250488
39,40,0.17276943655994914,0.12185269860240439,0.14731106758117676,0.10531408333366796,0.07830126738959864,0.0918076753616333
40,41,0.16703654222232364,0.13438672132748106,0.15071163177490235,0.1065141569050572,0.08470135823166156,0.09560775756835938
41,42,0.16429304712884144,0.13673253423102186,0.15051279067993165,0.10160891514064717,0.0750061323141868,0.08830752372741699
42,43,0.18844169201953478,0.15178567347423963,0.1701136827468872,0.11937372956189193,0.0910441133030983,0.10520892143249512
43,44,0.17532243880387904,0.1469038471305692,0.16111314296722412,0.13007640737974918,0.0827414045861932,0.10640890598297119
44,45,0.18212318977997147,0.15450305381133714,0.1683131217956543,0.11732573420893723,0.08749075024235671,0.10240824222564697
45,46,0.21046053937871817,0.1601685804943287,0.18531455993652343,0.12121989695595949,0.09159696133566649,0.10640842914581299
