,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.04408735947676333,0.02451205534867612,0.034299707412719725,0.02813085646618655,0.020872792291748023,0.024501824378967287
1,2,0.036826596412661845,0.03137952312469167,0.03410305976867676,0.04612252536602441,0.024886204568667976,0.03550436496734619
2,3,0.03442863006576934,0.03137828331008515,0.03290345668792725,0.0386643854868668,0.028543427776072654,0.03360390663146973
3,4,0.03512199448235822,0.032284850610415215,0.03370342254638672,0.0333453146927878,0.02966232614583525,0.031503820419311525
4,5,0.047391284963197694,0.029014574030332585,0.03820292949676514,0.03580187012372372,0.030806701882501862,0.03330428600311279
5,6,0.03651784791611693,0.0324906931910608,0.034504270553588866,0.03546258785133517,0.030145865899275176,0.032804226875305174
6,7,0.03687458639024369,0.03293251390577682,0.034903550148010255,0.034101516886916344,0.03170577795866471,0.032903647422790526
7,8,0.03845555970792237,0.0335533838498169,0.03600447177886963,0.03349914725447737,0.030308244865883953,0.03190369606018066
8,9,0.03667987669026326,0.03372694169962931,0.035203409194946286,0.034868143496024386,0.03233938366462014,0.033603763580322264
9,10,0.03901133025531405,0.03279557739849454,0.0359034538269043,0.03641677967058252,0.03239253887189795,0.034404659271240236
10,11,0.04124752129146567,0.034958972086219876,0.038103246688842775,0.03647034839251642,0.032937734569519705,0.034704041481018064
11,12,0.03933058821237209,0.03407606042349216,0.03670332431793213,0.042468116858827676,0.029539825340879355,0.03600397109985352
12,13,0.03905486927828313,0.03455300463834284,0.03680393695831299,0.037705395846638345,0.032502819866862626,0.035104107856750486
13,14,0.05129951473125023,0.029708108941235115,0.04050381183624267,0.04328961445249564,0.03252105640016549,0.037905335426330566
14,15,0.03975519619754876,0.034852176086386785,0.03730368614196777,0.037248051793938426,0.033159958688849654,0.03520400524139404
15,16,0.04075321491971879,0.035254866516438436,0.03800404071807861,0.03914269577607022,0.03326750625029697,0.036205101013183597
16,17,0.043573883173439826,0.03723485172035901,0.04040436744689942,0.038680594030467315,0.03572893851652976,0.03720476627349854
