,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.033371620430254476,0.028035468803143965,0.03070354461669922,0.02645099318797895,0.021552346579477105,0.024001669883728028
1,2,0.03387280526169069,0.029135646200101298,0.03150422573089599,0.03246987876476189,0.02833763542591194,0.030403757095336915
2,3,0.03149940795315077,0.028308893972508416,0.02990415096282959,0.03310170415616891,0.027105329001179727,0.030103516578674317
3,4,0.030640674033044612,0.027966188988805974,0.029303431510925293,0.030566826112956556,0.0274401757638745,0.029003500938415527
4,5,0.034265600119260095,0.027141346062990877,0.030703473091125488,0.03272354598818904,0.028484797517670333,0.030604171752929687
5,6,0.03177503019592674,0.0274326953289756,0.029603862762451173,0.031014348628526686,0.026392649052137375,0.02870349884033203
6,7,0.03507575561054789,0.028133062825121055,0.03160440921783447,0.03179419368008428,0.026215001647674513,0.029004597663879396
7,8,0.03255191419364719,0.027856010458452426,0.030203962326049806,0.031190818224749773,0.027415043439068584,0.02930293083190918
8,9,0.03361416177201701,0.02779526396345662,0.030704712867736815,0.030337731403920147,0.02766974731006911,0.02900373935699463
9,10,0.03146763154552106,0.027140232834361754,0.029303932189941408,0.030198188399035514,0.027208904649060187,0.02870354652404785
10,11,0.03147119248370387,0.027936232443053936,0.029703712463378905,0.030680149353717264,0.027727538787151878,0.02920384407043457
11,12,0.03195363594672497,0.02765272544243519,0.02980318069458008,0.03349775926767535,0.02690935476125531,0.03020355701446533
12,13,0.030338882570618654,0.0280683764168081,0.029203629493713378,0.032972975699379535,0.027635029824302108,0.03030400276184082
13,14,0.0333555292456064,0.027451365056761764,0.030403447151184083,0.030013454711019915,0.02699233218473204,0.028502893447875977
14,15,0.033106015264465945,0.028099991739318236,0.03060300350189209,0.033117330410868104,0.02669030394276959,0.029903817176818847
15,16,0.030432359226389784,0.02797289704497252,0.02920262813568115,0.030721532072302733,0.02788442495894727,0.029302978515625
16,17,0.03333367148923516,0.028274881443504096,0.03080427646636963,0.032615836793156,0.027991930311946536,0.03030388355255127
17,18,0.033263584654759946,0.028742030579615052,0.0310028076171875,0.0310415509050437,0.028365730970566654,0.029703640937805177
18,19,0.03164098615984155,0.02896597032209204,0.030303478240966797,0.03203655744821289,0.027771935212309574,0.02990424633026123
19,20,0.032051691405595925,0.02875563205021462,0.030403661727905273,0.029979316470459372,0.028227194073363868,0.02910325527191162
20,21,0.03090983527555412,0.02789744240388924,0.02940363883972168,0.03584217762361096,0.02756457591642811,0.03170337677001953
21,22,0.03792759716548882,0.027880937456703565,0.03290426731109619,0.03435839546737339,0.028046618570712546,0.03120250701904297
22,23,0.040800814970507256,0.02480587448261775,0.0328033447265625,0.03538212149463343,0.027425390788691766,0.031403756141662596
23,24,0.032177474597072195,0.028626034161472722,0.03040175437927246,0.035277391327458774,0.027331279860895712,0.031304335594177245
24,25,0.03432857733732059,0.029073360147420624,0.031700968742370605,0.03241499754138362,0.02839161065868962,0.03040330410003662
25,26,0.036979341913757215,0.027828359197082632,0.03240385055541992,0.03748829996298869,0.026717728021630447,0.03210301399230957
26,27,0.033441721059011414,0.029764331721139955,0.031603026390075686,0.03383298789279797,0.027574339759179566,0.03070366382598877
27,28,0.037459968156010215,0.028345371657222205,0.03290266990661621,0.03315434472958987,0.028251266308618135,0.030702805519104003
28,29,0.03251669271208896,0.028488947317818272,0.030502820014953615,0.034597901366172565,0.027810593583168258,0.03120424747467041
