,n_atoms,sd_plus_yes,sd_minus_yes,mean_yes,sd_plus_no,sd_minus_no,mean_no
0,1,0.034079676351131814,0.02412611893695412,0.029102897644042967,0.024415866372721584,0.020190056326253022,0.022302961349487303
1,2,0.03195350931167501,0.02925368978500468,0.030603599548339844,0.035186350474921094,0.028621899952325003,0.03190412521362305
2,3,0.03237281976357905,0.02743238272055181,0.02990260124206543,0.031219067065745548,0.02778762391325836,0.029503345489501953
3,4,0.0299544580272976,0.027450155467575444,0.028702306747436523,0.03062738939971043,0.02757845357209133,0.02910292148590088
4,5,0.032454706623742495,0.027950213954260436,0.030202460289001466,0.042520369509496295,0.02508832075234453,0.03380434513092041
5,6,0.03194762124059378,0.028060189352057587,0.030003905296325684,0.03047335747218435,0.027732199397322483,0.029102778434753417
6,7,0.03121862915831202,0.027784104072278798,0.02950136661529541,0.03236028777420367,0.028246907126309027,0.030303597450256348
7,8,0.031270762694240395,0.028134754883884602,0.0297027587890625,0.03190095060649229,0.02770607835468935,0.02980351448059082
8,9,0.04596723876469887,0.02304177917963707,0.03450450897216797,0.033608244625707676,0.02719731453261752,0.030402779579162598
9,10,0.030577521956175413,0.028229374253541384,0.0294034481048584,0.03246140100899043,0.027144435859295706,0.029802918434143066
10,11,0.03553391187829599,0.02787160188513174,0.03170275688171387,0.05482248804480548,0.015585188651971865,0.03520383834838867
11,12,0.04259722095886576,0.0290067924841274,0.03580200672149658,0.0619121211441003,0.02469447675629033,0.043303298950195315
12,13,0.04838915675679375,0.02621678501566719,0.03730297088623047,0.05124237070558352,0.02776201238157469,0.039502191543579104
13,14,0.03297846319291083,0.029823374728231745,0.03140091896057129,0.032501382079422686,0.028705340180098796,0.030603361129760743
14,15,0.033196011592220034,0.02840166945331219,0.030798840522766113,0.03381715457043907,0.02858738263048866,0.031202268600463868
15,16,0.031301424282512674,0.027104881030597675,0.029203152656555174,0.03130193004058015,0.025701949506538993,0.02850193977355957
16,17,0.03121811991347706,0.027787092870336413,0.029502606391906737,0.031180197997926887,0.02802452345287878,0.029602360725402833
17,18,0.03232569189849257,0.027478843013616805,0.029902267456054687,0.03293846066430074,0.02686736170813578,0.02990291118621826
18,19,0.03354267267019096,0.02846389623850044,0.031003284454345702,0.02995488264452877,0.027450970626955607,0.028702926635742188
19,20,0.06438564680261674,0.019620853441523877,0.04200325012207031,0.03564662063287929,0.029756936190851187,0.03270177841186524
20,21,0.03649520152631324,0.029903800548882066,0.033199501037597653,0.036882306241979336,0.02812495121956852,0.03250362873077393
21,22,0.03533149201857469,0.027271695542460464,0.03130159378051758,0.031888057681818786,0.028115175274113828,0.030001616477966307
22,23,0.03247010652555235,0.02893569524751894,0.030702900886535645,0.0376160509814125,0.02679048702823105,0.032203269004821775
23,24,0.03207703270935881,0.02832784018492829,0.030202436447143554,0.03235886599890979,0.028448075987174196,0.03040347099304199
24,25,0.030939903339520847,0.02866774550996646,0.029803824424743653,0.030909385594160472,0.027897462931840502,0.029403424263000487
25,26,0.03535660612812579,0.028049908993334174,0.03170325756072998,0.03594360773608552,0.02786302144482269,0.031903314590454104
26,27,0.03163564189023731,0.02836930767946484,0.030002474784851074,0.031271102050808804,0.028135226150485144,0.029703164100646974
27,28,0.03217850891087014,0.028626096573138648,0.030402302742004395,0.03535758495867013,0.029046854967477335,0.03220221996307373
28,29,0.037273556597332204,0.028131240003009587,0.032702398300170896,0.03489298754347781,0.027709007924661837,0.03130099773406982
29,30,0.031702614566314596,0.028302859524261578,0.030002737045288087,0.030695428027383242,0.02711063467098102,0.02890303134918213
30,31,0.03677202191460402,0.030434408520576644,0.03360321521759033,0.0323364151110907,0.027869616688225702,0.030103015899658202
31,32,0.03604556950460132,0.028560191069739504,0.03230288028717041,0.03769527954849619,0.028710302879482327,0.03320279121398926
32,33,0.03558157747606699,0.02862464124341544,0.032103109359741214,0.03590913793870645,0.03089660623243613,0.033402872085571286
33,34,0.03741509840952501,0.028991580743917368,0.03320333957672119,0.03333702636030912,0.028871244666302205,0.031104135513305663
34,35,0.03176663707409417,0.028439108622927322,0.030102872848510744,0.03533925126556483,0.02766786505218419,0.03150355815887451
35,36,0.031519925782803264,0.02888604383694771,0.03020298480987549,0.03864281742703513,0.026163262437466826,0.03240303993225098
36,37,0.03638751701275722,0.02921950622637852,0.03280351161956787,0.033723212449009984,0.02908301237398807,0.031403112411499026
37,38,0.03110005573063137,0.028705814325520974,0.029902935028076172,0.03241047480566268,0.028600505800416426,0.03050549030303955
